歌曲名,时长,作者,专辑
Spider Thread Monopoly,2:30,ProN4c,Spider Thread Monopoly
Eyes Blue Like The Atlantic,2:34,Sista Prod,Eyes Blue Like The Atlantic
Here (Lucian Remix),3:27,Alessia Cara,Here (Lucian Remix)
鱼Jazzguitar/Lucky,1:4,辛辛君,Fish Jazzguitar ver
My Ex Bitch Hates Me,2:59,Juice WRLD,My Ex ***** Hates Me
leaping through time,2:13,stream_error,leaping through time
Arcade,3:5,Duncan Laurence,Arcade
Sia-Dusk Till Dawn（Remix）（CokeCod remix）,3:6,7ouTp,Dusk Till Down（Remix）
Keep Your Head Up Princess,3:18,Anson Seabra,Keep Your Head Up Princess
Life Goes On,2:41,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)"
Falling Down,3:27,Wild Cards,Falling Down
Uh Oh Stinky,1:53,P R X D. Sen,Uh Oh Stinky
Fix You,4:56,Coldplay,Happy Together
Want Me,2:39,Dazers,Want Me
落日归山海，陪伴成告白,2:27,Seto,for u .
山丘 (Live),6:2,李宗盛,跨年演唱会2013-2014 华语篇
I'M YOURS PT.2,0:16,李金源,I'M YOURS PT.2（翻自 h3R3）
that day,1:48,nosubject,that day
好心分手 抖音片段,0:31,孟祥龙,好心分手 抖音片段
你好不好,1:14,ukakakaxxl,你好不好
想自由.,1:23,ck曼曼,别了吧
阿里郎 (Live),4:1,钟文UglyZ,中国新说唱2020 第六期
Toxic,3:58,BRLLNT,Toxic
年轮,0:39,Y1nJ1e,年轮
One Day (Hare Je Remix),3:28,Hare Je,Hare Je Remix
一直很安静,0:31,周泽楷,愿每个孤独的夜晚都有人相伴
考其正 下雨天,0:32,考其正,翻唱
Fractures,3:57,Nevve,Electric For Life Episode 117
Weyrleader,2:17,Maga AQ,Weyrleader
Angetenar (Emre Kabak Remix),3:16,Emre Kabak,Angetenar (Emre Kabak Remix)
Photo ID,4:25,Remi Wolf,I'm Allergic To Dogs!
有我呢,4:5,张郁梓,有我呢
Blame,3:34,Calvin Harris,Blame
Bad Ideas,2:59,Tessa Violet,Bad Ideas
yellow,1:18,eel.,confession
伯虎说 (feat.唐伯虎Annie),3:40,伯爵Johnny,伯虎说 (feat.唐伯虎Annie)
Drown (Alle Farben Remix),2:49,Martin Garrix,Drown (feat. Clinton Kane) (Alle Farben Remix)
I Wrote A Song (男生版),3:36,叶皓-晏,I Wrote A Song (男生版)
中间人,3:20,Ice Paper,中间人
Break the Cycle,4:6,You+Me,rose ave.
收敛（吉他 治愈版）（翻自 不够）,0:34,林加弦,收敛
Possible Deaths,2:9,Typhoon,White Lighter
万拒（吉他版）,3:41,就是南方凯,万拒
Teeth,3:24,5 Seconds of Summer,13 Reasons Why (Season 3)
Not Angry,3:19,Chris James,Not Angry
蝴蝶泉边,4:5,黄雅莉,崽崽
阿拉斯加海湾,4:1,蓝心羽,阿拉斯加海湾
Let Me Down Slowly (Acoustic),2:41,Beth,"Acoustic Piano Hits, Vol. 1"
Loving Strangers,3:59,Jocelyn Pook,Habitación En Roma
August,3:27,Intelligency,Renovatio
最后一页（爱只能在回忆里完整）,3:41,洛尘鞅_,最后一页
茫,3:47,李润祺,茫
Play Date,2:58,Metrixx,Summer Hits 2020
(It's Not About) Running,4:6,Tuvaband,(It's Not About) Running
Ephemeral Memories,3:55,MoreanP,Ephemeral Memories
saturdaycartoons,2:3,geerad,saturdaycartoons
Another,2:57,Zdeněk Gromnica,Dusk
Leave me along,2:51,Die-OverXYC,Leave me along
whatever it takes,3:37,convolk,whatever it takes
Where Is Your Love,2:37,J. Lisk,Where Is Your Love
wish you were gay,3:41,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
我 给 你 看 个 人 他 好 久 没 笑 了,3:58,Mei,我 给 你 看 个 人 他 好 久 没 笑 了
Falling for U,2:4,Peachy!,Falling for U
Scars To Your Beautiful,3:50,Alessia Cara,Know-It-All
Jhak Maar Ke (Karaoke Version),3:57,Ameritz Indian Karaoke,Karaoke (In the Style of Neeraj Shridhar)
I See You,3:48,Missio,I See You
谪仙 (抖音DJ版)（翻自 叶里）,4:49,陌雪,谪仙dj名龙mix 谪仙抖音dj
First Kiss,2:30,Elijah Who,First Kiss
why do i love you,1:17,eel.,why do i love you
我好想你,5:26,苏打绿,秋：故事
Chance,3:33,Aspyer,Chance
Drowning Love,1:52,Sanmmy Margan,Drowning Love
changes,2:1,XXXTENTACION,changes
Sunset/Sunrise (Prod. Kendo),1:27,SNØW,L O N E L Y R O A D (Lonely Music Ep)
ＣＯＬＤ,2:2,TRA$H,ＣＯＬＤ
ＡＳＬＥＥＰ,2:19,TRA$H,Awake Vol. 1
▲,3:54,Arajua,"Flickering Lights, Atmospheric Waves"
☔,2:2,Aziry,4.14
days with you,2:34,Slipfunc,days with you
Wasting,6:16,4oot,Breaking
ＬＯＳＴ,2:43,TRA$H,ＬＯＳＴ
let me know,2:16,ondi vil,let me know
✘ 申 請 批 准 人 間 長 假,3:7,Mei,✘ 申 請 批 准 人 間 長 假
Sunfly Karaoke-This Is What You Came For【Retro】（Chave remix）,4:10,Lee,Retro sentiments
ain't loyal (oshi's Version),2:5,OSHI,ain't loyal (oshi's Version)
How Do I Love Thee?,1:12,Michael Hoppé,How Do I Love Thee?
Dawn,3:11,Fabrizio Paterlini,Winter Stories
Ed Sheeran-莹のしずく（SmallHi remix）,2:46,小嗨总,Dj SmallHi Remix
3055,5:26,Ólafur Arnalds,Eulogy for Evolution
Lie Low,2:55,Osho,Lie Low
天下,3:31,高鱼,天下
magnolia,2:19,keshi,magnolia
Rehab (The Clarstone Remix),3:44,The Clarstone,Rehab (The Clarstone Remix)
Radioactive,3:8,Imagine Dragons,Continued Silence EP
Kiss Fight (feat. gnash),2:58,Tülpa,Kiss Fight (feat. gnash)
糖分とらねぇとなぁー,1:26,Audio Highs,銀魂　オリジナル・サウンドトラック
低空飞行（翻自 沈以诚）,0:32,千里狗,Cover 9
Take a Walk (Instrumental),4:21,Cover Pop,Take a Walk (Tribute to Passion Pit) [Karaoke Audio Version]
把音量调最大 有话对你讲,0:45,周婧琳,了不起的人
ビンクスの酒 (BONUS TRACK),3:19,田中真弓,ONE PIECE MEMORIAL BEST
胸大的姑娘--旁白版（翻自 留声玩具）,1:36,孙振宇,各种Cover
Take a Walk (A Cappella),4:10,AaronicStuff,Take a Walk (A Cappella)
一天一天（小清新钢琴纯音乐）,4:13,桑子,曾经陪你一起听过的歌（纯音乐合集）
日月星辉之中，你是第四种难得,3:45,沈奕秋,我们都是星子
This Must Be Hell (prod. Tau),2:6,VELVETEARS,Hikikomori
Aloha,0:31,Dick Walter,Kpm 1000 Series: The Editor's Companion 2
The Royal Wedding Song,2:42,MattyBRaps,The Royal Wedding Song
Natural,3:8,Planet in Limbo,Say Amen
岁月神偷,4:4,金玟岐,完美世界
再见,1:11,粥粥和小伙,0音质的弹唱
鶯之緒,3:16,Fur Von （饭碗的彼岸）,LovingIng
tired,1:24,vietra,tired
杀死那个石家庄人（翻自 万能青年旅店）,4:30,千里狗,Cover 0
carry on.,1:36,tkdwn.,carry on.
Shelter (Acoustic Cover),2:50,Shiki,Shelter
与我无关（片段版）,0:17,小乐哥（王唯乐）,与我无关
Señorita,0:21,SWAGGER,Señorita
June Gloom.,2:24,prima,June Gloom.
没有结局的相遇,3:13,厘小白,没有结局的相遇（515431班歌）
海の形,4:10,昙轩,海の形
Wake,4:13,Capitol Kids!,Capitol Kids! Worship
Fearless Pt. II,3:14,Lost Sky,Fearless Pt. II
MOM,2:54,蜡笔小心,MOM
黄梅戏 (抖音DJ版) (翻自 慕容晓晓),5:54,Kag Chuu,黄梅戏 (抖音DJ版)
一月二十七日的口水歌之男女平等篇哈哈哈,1:25,孙振宇,杂
Crush,3:36,Tessa Violet,Crush
Panic Room (Acoustic),4:17,Au/Ra,Panic Room (Acoustic)
逼格棒,1:58,烟把儿,鲁西北Bigbang
☆,2:55,Chloe Wonderland,Starlight
Dream Land Days,3:17,Kirby's Dream Band,The Pink Album
骨折り損,1:47,神前暁,俺の妹がこんなに可爱いわけがない オリジナルサウンドトラック
giga pudding!,1:7,咸鱼,卟哩卟哩！
駆け足マーチ,2:2,栗コーダーカルテット,つり球 オリジナル・サウンドトラック
ツナ覚醒,1:37,佐橋俊彦,最新热歌慢摇80
李云龙：你猜旅长怎么说,1:52,树深时见鹿dear,树深时见鹿dear的鬼畜歌~
Zunea-Zunea,2:56,Cleopatra Stratan,La varsta de 5 ani
Micmacs à la gare,1:14,Raphaël Beau,Micmacs à tire-larigot (Bande originale du film)
Believe AMG(Radio Edit),3:46,Storm_Official,Believe AMG(Radio Edit)
果物の盛り合わせ,4:0,人见人爱的P老汉,果物の盛り合わせ
我又想你了,0:53,于潼,我又想你了（demo）
Early Morning Dreams (Kled Mone Remix),6:55,Kadebostany,Early Morning Dreams
Sansa Lala,4:5,Kayaz,Sansa Lala
探戈就是趟着走,2:22,还有一天就放假了,春晚鬼畜好声音
Morning Dreams,2:24,OtravaMusic,Morning Dreams
Oh Lawd Challenge,2:55,DJ Suede The Remix God,Oh Lawd Challenge
Nick's B. Danube,0:34,SpongeBob Squarepants,The Yellow Album
Y.M.C.A.,2:55,The Minions,Despicable Me 2 (Original Motion Picture Soundtrack)
F.U.N. Song,1:41,SpongeBob Squarepants,SpongeBob's Greatest Hits
葫芦金刚,0:38,王迟,记忆的符号-中国电影百年寻音集 CD19
日 暮 温 柔,1:39,Riva,日 暮 温 柔
你 看 起 來 就 很 好 吃,3:3,银河对视,F L I P P E D
Boss Bitch,2:14,Doja Cat,Boss *****
宾克斯的美酒,7:6,V.A.,最新热歌慢摇19
我们别时和见时不同,5:8,Fur Von （饭碗的彼岸）,我们别时和见时不同
Drip Drip Drip,6:38,Music therapy,神奇的α波 潜意识疗法 舒眠
最幸福的事，就是在喜欢你的每一天里，被你喜欢,3:2,Hea2t,最幸福的事，就是在喜欢你的每一天里，被你喜欢
Porter Robinson / Madeon - Shelter（WYINY remix）,4:14,WYINY,SHELTER
Andrew Davenport-花园宝宝在你家蹦迪（MxsTones Remix）,0:57,MxsTones,花园宝宝在你家蹦迪
デート,4:3,RADWIMPS,君の名は。
Empire (Instrumental),5:16,Voicians,Empire
Ben 10-《Ben 10》动画主题曲,0:57,,
Geronimo (Jost & Damien Radio Mix),3:17,Aura Dione,Before the Dinosaurs
Flowers,3:18,Dirty Palm,"Candy Pop Hits, Pop Food, Pop!, Pop City Hits, Pop Town, Pop News, Pop Cult, Pop Snacks, Pop Twist, Pop Couch, Pop House Tunes"
EM ƠI CỨ VUI,3:19,Touliver,EM ƠI CỨ VUI
I Won't Lie,2:42,Krimsonn,I Won't Lie
Hey Mamma (Radio Edit),2:59,Sunstroke Project,Hey Mamma
Loosing Control,4:40,Nell,Slip Away
钢铁洪流进行曲,2:59,李旭昊,热门华语283
五楼右转又尽头,2:50,张嫮目,五楼右转又尽头
223's Feat YNW Melly (Produced By Rocco & Glokknine),2:56,9lokknine,Lil Glokk That Stole Khristmas
1965,3:37,Zella Day,1965
Jingle Bells,2:54,SpongeBob Squarepants,The Yellow Album
Universal Fanfare,0:34,The Minions,Minions (Original Motion Picture Soundtrack)
heartbreaker,1:56,AllHailSun,heartbreaker
Minions Pick up Right Now,0:28,The Funny Tone Guy,Minions Pick up Right Now
Tom And Jerry,0:25,Bradley,Cartoon Medley
Hello Makka Pakka!,0:27,Andrew Davenport,In the Night Garden… A Musical Journey…The Album
SpongeBob Closing Theme,0:42,Various Artists,最新热歌慢摇90
温泉わくわくしんちゃん,0:39,浜口史郎,映画 クレヨンしんちゃん 岚を呼ぶモーレツ!サウンドトラック大全集
SpongeBob SquarePants Theme Song,0:44,SpongeBob Squarepants,SpongeBob's Greatest Hits
Blame You,3:28,眠,Blame You
画心 (男生版),4:1,要不要买菜,画心 (男生版)
关于你,3:24,李政岳T-L,关于你
air chair,1:45,ldst,air chair
r a i n y ♡ m o o d,2:29,BlueLee,rainy mood 已售
ghost duet,1:0,Louie Zong,ghost duet
Winter Without You,3:11,Gloria Kim,Winter Without You
shelter,1:45,hakaisu,shelter
Strange Sensation,1:11,xfruge,Strange Sensation
嘉 禾 天 橙 国 际 大 影 院 . 芬 芳 厅,2:50,银河骑士GalaxyKnight,嘉 禾 天 橙 国 际 大 影 院 . 芬 芳 厅
半城夏味（轻3D音效纯乐）,3:56,张斯函,半城夏味
Are You Lost,2:47,Park Bird,Are You Lost
Poacher's Pride,2:19,Nicole Dollanganger,Natural Born Losers
Missing?,6:2,Emme Packer,Joy. The Machine.
Past Lives,2:33,sapientdream,Drowning
海底,1:44,一支榴莲,《独》
日暮里,3:26,JINBAO,東京物语
get you the moon,2:59,Kina,Get You The Moon
Blue Dragon(piano&guitarver),3:33,澤野弘之,「医龍 Team Medical Dragon」オリジナルサウンドトラック
Born a Stranger,1:41,Kan R. Gao,To the Moon
Ø,3:0,the tumbled sea,melody/summer
☆.,1:54,go missing,stars.
☹,2:46,Gray Planet,情感日常
ＡＷＡＫＥ,2:37,TRA$H,Awake Vol. 1
❄️,2:44,莆嵬,＊
你甚至都没把我当成故事讲给别人听。,3:26,WJCTION,你甚至都没把我当成故事讲给别人听
♡,4:39,Xxankid,♡
你再也读不出我任何欲望,3:0,Cicada,Pieces
Why did you enter in my life ?,2:51,cxld blxxd,Why did you enter in my life ?
原来你一直都不曾存在于这个世界上过哪怕一分一秒,3:51,金克斯的地下情人,原来你一直都不曾存在于这个世界上过哪怕一分一秒
想 在 每 個 朦 朧 的 夜 幕 下 擁 抱 妳,3:2,BlueLee,Lofi 《Hazy Night》
负重一万斤长大,4:22,太一,第一次做人
Unique,3:17,Lenka,The Bright Side
いのちの名前,5:49,広橋真紀子,リラクシング・ピアノ~宮崎駿コレクション
No Matter What,2:32,Bougenvilla,No Matter What
Famous,3:43,Ivy Adara,Famous
Lucky,3:20,Lenka,Lucky
l o f i l o v e,2:20,Seto,l o f i l o v e
zzz,3:35,Bye Mugen,zzz
Past Lives / Promise,2:33,sapientdream,Past Lives
Summer '17,3:48,christianalexnder,Summer '17
Walk Thru Fire,3:14,Vicetone,Monstercat - Best of 2018
pure imagination,1:44,Rook1e,pure imagination
Trouble (Mike Williams Remix),3:36,R3HAB,Trouble (Mike Williams Remix)
Asphyxia(Piano Ver),5:43,逆时针向,asphyxia
Can We Kiss Forever?,3:7,Kina,Can We Kiss Forever?
PYRO,2:28,Chester Young,PYRO
C U Again (Cartoon vs Futuristik VIP),3:22,Cartoon,NCS: The Best of 2016
Busy and Important,2:43,Tom Rosenthal,Busy and Important
Ritmo,0:41,,
关于你的心事,3:56,刘梓炎,关于你的心事
治愈至于止于致郁吗,2:40,刘思鉴,治郁鲸
王巨星-愿你安好（FOMY remix）,3:55,FOMY,FOMY MIX CHINES POP SONGS
Sakura,1:0,CMJ,Sakura
被困住的城市,3:25,姜鹏Calm,被困住的城市
还是分开,3:46,张叶蕾,还是分开
Flower,3:32,恶梦Yk,Flower
Drive（翻自 Oh Wonder）,3:14,Biscuits,Drive (Cover)
so far away,2:9,elijah who,new feelings
i dont care about anything anymore,2:30,tazz,i dont care about anything anymore
Just because!,4:37,Discent,Just because!
七夕（弹唱版）（翻自 许嵩）,0:33,向文涛,Cover 6
Brass,3:2,Dirty Rush & Gregor Es,Brass
安河桥（唢呐混音完整版）（翻自 宋冬野）,4:23,MINGYANG,安河桥
安和桥间奏（纯音乐）,0:29,林芬宇,林芬宇的翻唱集
Cooler Than Me,3:29,Lucky Luke,Cooler Than Me
I Never Told You,1:33,杨飞机,翻唱DEMO
王華宇-安和桥（唢呐版）（潮音病人 remix）,1:7,忘川境鹤,安和桥唢呐版
囍（Chinese Wedding）,3:36,葛东琪,囍（Chinese Wedding）
囍（Chinese Wedding）,3:32,祖娅纳惜,囍
想自由,0:42,千里狗,Cover 2
50 Feet,3:5,SoMo,50 Feet
未完成,1:22,不知春去,未完成
雨 因你而下，于你而止,2:12,Seto,雨 因你而下，于你而止
心墙,3:47,吴大文,心墙
零几年听的情歌,2:28,AY楊佬叁,零几年听的情歌
Time Back,2:34,Bad Style,最新热歌慢摇63
Love Guitar,3:13,MElatonin,BXXXX
不找了,4:36,郁欢,不找了
再见,1:31,四只烤翅,再见
♬☹☁SVD GIRL☁☹♬,1:50,WitekProdukcje,♬☹☁SVD GIRL☁☹♬
能不能打给我一个让我害羞到脸红的电话,3:17,金克斯的地下情人,电
如果是来见你 我会用跑的,3:52,FAT TIGER,如果是来见你 我会用跑的
忽而今夏,1:14,耳朵玥,叹气会让幸福溜走的
今晚月色真美 风也溫柔,3:46,别网恋,你打算什么时候去见那个你超级想见的人啊
The Sound of Silence,4:7,Racoon Racoon,The Sound of Silence
【售断】ø,3:13,Lil Nickle,water
⊗,2:34,Seto,Free emo beat
NUMB,3:6,XXXTENTACION,?
一个人过冬天（翻自 寻找幸福）,3:44,宋世贤,real hiphop
Patience,1:45,TRA$H,AWAKE Vol. 2
to the seaside...,1:35,silky soap,Remember that one time​.​.​.
Birds,2:13,wünsche,Birds
nostalgia,2:1,Inteus,nostalgia
Day Dreamin',2:43,Kondor,Beyond the Clouds
这一秒只想在爱里沉溺（治愈《恋愛の資格》日语念白-溯 (Reverse).feat,2:41,邓壬鑫,夜の钢琴III
AME TO SAKURA,2:40,Seto,❀
Last Reunion (Epicmusicvn Series),4:35,Peter Roe,Last Reunion (Epicmusicvn Series)
柴 鱼 の c a l l i n g【已售】,2:31,幸子小姐拜托了,幸 子 さ ん は お 願 い し ま す
We Will Rock You,2:49,Max Raabe,we will rock you
欧若拉,3:58,夏苏烦,欧若拉
除了春天爱情和樱花（铃声版）（翻自 High4）,0:14,刘星宇,除了春天爱情和樱花
晚安,1:2,陈阳,阳阳的弹唱第五弹
最甜情歌,2:58,红人馆,迷人的宝贝
⚡,2:57,Ala,⚡
⊙,2:37,Ala,⊙
⭕,2:9,Ala,⭕❌
✌,2:16,Ala,✌
⛄,2:29,Ala,⛄
⌘,2:42,Ala,⭕❌
❌,2:33,Ala,⭕❌
Ther,5:9,Kraffa,Short note from time
Stitches,3:26,Shawn Mendes,Handwritten (Deluxe)
If We Have Each Other,3:1,Alec Benjamin,Narrated For You
❁,2:11,Vader Roze,❁
☂,1:57,COSMASTLY,☂
-̡̙̙͇̺̤͓̀͜-̧̛̗̕-͏̪̥̩,1:8,l o k a !,-̡̙̙͇̺̤͓̀͜-̧̛̗̕-͏̪̥̩
s̶̨̞̘̻̬̞̝͔͈̱͓̫☏ѧѦ ѧ︵  ̢ ̱ ̧̱ι̵̱̊ι̶̨̱s̶̨̞̘̻̬̞̝͔͈̱͓̫ ̶̱Ѧѧ  ѧ   ̵̗̊o̵̖ Ѧ ✉✍s̶̨̞̘̻̬̞̝͔͈̱͓̫,2:45,JOURNAL,s̶̨̞̘̻̬̞̝͔͈̱͓̫☏ѧѦ ѧ︵ ̢ ̱ ̧̱ι̵̱̊ι̶̨̱s̶̨̞̘̻̬̞̝͔͈̱͓̫ ̶̱Ѧѧ ѧ ̵̗̊o̵̖ Ѧ ✉✍s̶̨̞̘̻̬̞̝͔͈̱͓̫
ㅤㅤ,4:16,KΛGWΣ,ㅤㅤ
░░_Ｓｐｒｉｎｇｔｉｍｅ  Ｓｔｒｏｌｌ_Westminster Quarters =Ⓣɪᴍᴇ ➋ Ⓜᴇᴇᴛ,1:25,secret crates,░░//Ｓｐｒｉｎｇｔｉｍｅ Ｓｔｒｏｌｌ//Westminster Quarters =Ⓣɪᴍᴇ ➋ Ⓜᴇᴇᴛ
ㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㄴㄴㅁㄹㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤ,3:37,ㅤɴㅤᴇㅤᴀㅤʟㅤ,ㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㄴㄴㅁㄹㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ☆ㅤ
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ㅤ,1:33,Jetson,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ◽
ヽ｀ヽ｀、ヽ｀、ヽ｀ヽ｀、ヽ,1:19,Jetson,ヽ｀ヽ｀、ヽ｀、ヽ｀ヽ｀、ヽ
ᯤ,2:1,71,ᯤ
ㅤ,2:56,毛明杰,一千年以后
️,2:6,一只有自闭症的鼹鼠,乱炖
ㅤ,3:13,LEIER,ㅤ
ㅤ,3:49,299cc,Intro
Rescue Me,2:39,OneRepublic,Rescue Me
Jesus In LA,2:51,Alec Benjamin,Jesus In LA
美卷入画（翻自 小可乐）,0:29,千里狗,Cover 8
别渴望,3:8,老田,别问
一个,3:45,陈壹千,二十出头
Lordly (feat. Alex Aiono) [MDZN Remix],4:37,Alex Aiono,Lordly (feat. Alex Aiono) [Remix EP]
nothing on you,1:27,陳梦嘉,有 趣 的 那 種
Lucky One,2:37,mich,Lucky One
Easy Breeze,1:42,Thomas Greenberg,Something Simple
听见星星光芒碎裂的声音,4:14,温野,听见星星光芒碎裂的声音
Solstice,3:46,K-391,Solstice
Fried Rice (ft. Onra),2:2,G-Eazy,Big
buttercup,3:28,Jack Stauber,buttercup
confession,5:33,eel.,confession
Hands in the Fire,2:56,James Carter,Hands in the Fire
Each New Day,2:43,Rose Melberg,Cast Away the Clouds
野草,4:30,SealWu,野草
Old Town Road,1:53,Lil Nas X,Old Town Road
my cute anime girlfriend,0:56,eel.,deleted
afraid,3:39,eel.,afraid
I've got her to love,2:31,Elijah Who,I've got her to love
Dissolve,4:33,Absofacto,Dissolve
young luv,1:18,Rook1e,young luv
Trap Queen,5:16,MKJ,Trap Queen
Op Opa,2:53,Gaullin,Op Opa
a thousand years (lullaby),2:51,Christina Perri,songs for carmella: lullabies & sing-a-longs
and i love you so,1:19,Rook1e,and i love you so
i'm sorry i really am,1:9,eel.,i'm sorry i really am
Game Over!,3:26,Harris Cole,Game Over!
果汁分你一半（翻自 花儿乐队）,1:10,一只怪兽叭,送给奥特曼
冬眠 王巨星,0:17,王巨星,冬眠
王巨星《关键词》,0:24,王巨星,王巨星的翻唱集
吹梦到西洲（四合院版本）,0:15,四只烤翅,《吹梦到西洲》（四合院版片段）
关键词（女版）（翻自 林俊杰）,0:37,坠,关键词（女版）（翻自 林俊杰）
刘宪华「How to love」间奏钢琴solo,0:59,MappleZS,MappleZS
Bulletproof,3:30,Griffin Oskar,Hostage
星河不可及,3:50,CMJ,星河不可及
The Story Never Ends (Piano Version),3:49,Lauv,The Story Never Ends (Piano Version)
Slow Fade,3:31,Ruth B.,Slow Fade
山海不可平,1:53,CMJ,山海不可平
Reckless,3:57,healy,Reckless
Bossa No Sé,3:21,Cuco,Bossa No Sé
所念皆星河,3:40,CMJ,所念皆星河
XXXTentacion,2:20,Haiwee,Sad ( 吉他版 ）
whoa (mind in awe),2:37,XXXTENTACION,SKINS
星茶会,3:16,灰澈,星茶会
she was a pretty one,2:58,lanie ❀,she was a pretty one
Mona Lisa,2:37,VALNTN,Mona Lisa
Bubble Gum,2:55,Clairo,Bubble Gum
breathe slow,2:19,Rook1e,breathe slow
I'll Be Waiting...,2:49,Pearl,I'll Be Waiting...
Shadow of the Sun,2:25,Max Elto,Taped Rai
逆流而上,4:36,罗云熙,逆流而上
此刻你我都是古惑仔,0:35,MAMUSUONA,Be Your Sun
We Can Be Together,4:12,XYPO,We Can Be Together
Crazy Enough,3:11,Julie Bergan,Crazy Enough
Flowers,3:18,Dirty Palm,Flowers
我被堵在爱情的死胡同,2:48,徐锦辉,我所热爱的世界与你
ᐇ,1:19,Seto,ᐇ
Rise,3:14,Jonas Blue,Rise
Lock Me Up,3:31,The Cab,Lock Me Up EP
Get You The Moon,2:59,Kina,Get You The Moon (The Remixes)
infinity II,2:33,Kanashi,infinity II
tenacious,2:34,anthoknee,tenacious
Asphyxia,5:9,逆时针向,asphyxia
Fractures,4:5,ILLENIUM,Awake
☁,2:37,FAT TIGER,☁
us,2:10,4oot,us
First Date,2:1,陈光荣,头文字D 电影原声
那个短发姑娘,4:41,杨力,那个短发姑娘
Bedford Falls,3:23,ford,Bedford Falls
Worst of You,3:17,Maisie Peters,Worst of You
You Promised You'd Never Forget Me,3:8,Senbeii,You Promised You'd Never Forget Me
Ma direction,4:23,Sexion d'Assaut,Best of
å¹»å¬ è¤ä¸okç,2:27,粥粥和小伙,幻听
Man on a Mission,3:31,Oh The Larceny,Oh the Larceny
You & Jennifer,2:39,Bülow,Damaged Vol. 2
Losing Me,3:0,Gabrielle Aplin,Losing Me
Two Punks In Love,3:15,Bülow,Two Punks In Love
hostage,3:49,Billie Eilish,dont smile at me
i want to be with you,1:0,REASON,i want to be with you
我还有点糊涂（弹唱版熊出没主题曲）（翻自 刘晨）,1:13,陈阳,阳阳的弹唱第三弹
Katie Sky-Monsters（DryJo remix）,2:10,DryJo,when u are not around.
骗自己PT.2,3:39,AY楊佬叁,骗自己
Young Dumb & Broke,3:19,Khalid,American Teen
One Thing,3:17,One Direction,One Thing
像你这样的大师,1:24,于泓,生肖传奇之十二生肖总动员动漫原声带
never mind,2:24,feeniks,never mind
her,2:17,savior,her
Moody,3:9,Savannah Sgro,Moody
Trampoline,3:4,Shaed,You Got Me Like
i don't love you anymore,1:47,erc grcc,i don't love you anymore
Crystal Ball,3:27,Lenka,Attune
琴师,4:21,要不要买菜,琴师
多情种（母带版）,3:35,要不要买菜,多情种
阿冗-别想TA（FOMY remix）,6:24,FOMY,别想他
summertime（acoustic ver.）,0:32,麦吉_Maggie,summertime（Arrange ver.）
遇见你的时候所有星星都落到我头上,0:36,千里狗,Cover 6
告白,0:35,千里狗,Cover 1
人间不值得,1:3,千里狗,Cover 2
放生,4:24,陈阳,放生
50 Ways to Say Goodbye,4:7,Train,California 37
MELANCHOLY,2:8,White Cherry,MELANCHOLY
